"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19" "V20" "V21" "V22" "V23" "V24" "V25" "V26" "V27" "V28" "V29" "V30" "V31" "V32" "V33" "V34" "V35" "V36" "V37" "V38" "V39" "V40" "V41" "V42" "V43" "V44" "V45" "V46" "V47" "V48" "V49" "V50" "V51" "V52" "V53" "V54" "V55" "V56" "V57" "V58" "V59" "V60" "V61" "V62" "V63" "V64" "V65" "V66" "V67" "V68" "V69" "V70" "V71" "V72" "V73" "V74" "V75" "V76" "V77" "V78"
"gene11" 0.270979 0.833261 1.044662 2.049428 -0.764166 1.611431 1.728729 -1.058496 1.61818 0.061849 -1.458859 -0.725121 0.835357 -0.1898 1.70942 -0.636427 2.101081 0.209622 0.790424 -0.853285 0.984098 0.211548 1.340018 -0.692332 1.812118 -0.140134 1.363388 0.131821 0.856308 -0.120552 -0.646335 -1.790697 1.576344 -0.008694 -0.52855 0.005117 1.962221 0.430551 -0.110955 0.106026 1.467424 0.846917 -0.796118 -0.961778 0.461774 0.466623 0.853054 -1.438724 0.60243 0.253732 -1.633969 -1.274262 -0.165835 -0.064356 0.732033 -1.044828 -1.003517 -0.270404 -0.473637 0.279358 -0.655269 0.123639 -0.64187 -1.198289 -1.229271 -1.518356 -0.896485 0.3544 -0.285438 -0.793541 -0.786526 -0.098583 -1.086003 -0.528752 -1.056901 -0.273147 -1.057478 -1.127627
"gene12" -1.460415 -0.561492 -0.171703 0.275157 -0.870849 -1.145799 -1.796926 0.484885 0.084225 0.324121 0.377737 0.417999 0.36594 -1.59683 1.805884 1.314258 -1.315449 -1.922079 -0.804868 -0.278933 -1.428926 -0.89665 -1.938426 0.993836 -0.331783 -1.159914 -1.224926 -1.497967 -1.011739 -1.786206 -1.425934 0.029794 0.227744 0.109417 1.373795 -0.33817 0.679253 0.197423 -0.149211 0.971608 0.097686 -2.007156 -0.145906 0.761421 1.471404 0.059707 -0.034332 0.794539 0.640585 1.056451 -0.926899 0.250712 -0.33828 0.611378 0.293581 1.019499 0.127113 1.836299 0.391162 0.152711 0.789537 1.041028 0.57362 0.482223 0.285727 0.48071 0.223002 1.470461 0.313832 1.001891 0.830137 1.38811 -1.245757 0.362353 -1.304941 2.244683 0.221771 -0.187943
"gene13" -0.546621 -0.846692 -0.236053 -0.29933 -0.151202 -1.40068 -0.68549 -0.406232 -0.713212 -1.486721 0.491913 0.570205 0.196019 -1.738267 -1.297212 -1.371527 -0.541476 -0.9956 -0.328747 0.796415 -0.900271 -1.575573 -0.905409 0.294308 -0.021044 -0.131474 -0.629719 0.566555 -0.823026 -0.569887 0.112306 -1.631416 0.071738 0.320658 -0.176211 -0.55408 -0.899241 1.316372 1.108168 -1.016816 0.065735 0.100562 0.115817 0.415554 -1.077563 0.07327 -0.698915 0.250468 1.583 0.865542 0.578485 -0.721428 0.759621 0.56633 -0.640293 0.38044 -0.267028 0.071727 1.428402 0.416684 -0.902305 0.956834 -0.73081 2.286856 0.990427 0.037058 -0.372265 1.064578 0.04647 -0.875979 -0.77691 1.1573 0.776283 0.188611 1.268983 2.236756 1.429214 3.98706
"gene14" -1.028298 -0.213123 -1.087523 0.136972 -0.906792 -1.106079 -1.061141 0.22932 -0.161683 -0.587148 -0.041941 1.077768 1.023717 -1.63617 1.096131 0.223175 -1.251013 -1.529946 -1.781001 0.603472 -1.360735 -0.694821 -1.869124 1.618508 -0.682819 -0.315137 -1.029312 -0.81052 -0.407059 -1.456142 -1.012831 0.716229 0.109349 0.928884 -0.698735 -1.175466 -0.535148 0.994454 -0.128435 0.568467 -0.334568 -2.005181 0.446201 0.985005 -0.407816 -0.655404 0.506894 2.165735 0.990779 1.263198 0.196272 -0.048948 1.19683 0.25302 0.375933 -0.153077 1.835323 1.117931 -1.49772 -0.633549 -0.257408 0.200851 -0.521899 1.058862 1.650753 0.960815 1.833782 0.325644 0.798711 -0.544597 1.449604 1.333403 -0.60395 1.247806 0.046126 0.220038 -0.374584 0.820879
"gene15" -1.752828 0.643076 -0.666155 0.636442 -0.411833 -1.38165 -1.190594 0.298061 -2.03699 -0.410703 -1.063324 -0.016929 -1.274915 -0.879378 3.029954 -0.61616 -1.016686 -1.285481 -1.060329 0.013228 -0.484704 0.666077 -1.657404 1.232644 -0.055022 -0.494216 -0.635438 -0.18135 -0.854386 -0.895879 -0.612889 -0.472318 -0.970332 0.266573 -0.576277 -0.636587 -1.488765 -0.000722 0.544027 0.140191 0.507153 -0.402579 0.459523 0.899395 -1.915686 -0.28288 -0.29881 1.315265 0.343614 1.783147 -0.28382 0.495894 1.546436 0.593151 -0.585721 -0.170749 2.66845 -0.218564 0.843781 0.275516 0.969679 -0.585144 0.260065 0.483041 1.061633 0.376052 1.675375 1.087949 1.280315 -0.183637 -0.083206 -0.031362 -0.927633 1.168979 1.140213 0.421838 1.097942 0.825356
"gene16" -0.933322 -1.515866 -0.612172 0.083157 0.216573 0.561732 -0.40503 0.821753 -0.492019 -0.2164 -0.665733 1.304958 0.242298 -0.180927 -1.687127 -0.936152 -1.190038 -0.432895 0.526571 1.794199 -1.286272 -0.668715 -1.338852 0.995708 0.106385 -1.74766 -1.332113 -1.149938 -0.840069 -1.607238 -0.824147 -0.6124 -1.771012 0.265301 0.495149 0.066361 -1.03065 -0.082152 -1.289444 0.04895 0.004182 -1.008392 1.426744 0.928462 -0.310504 -0.221268 1.612568 1.910506 1.00697 1.196606 0.55951 0.495521 0.55144 -0.987193 -0.359385 -0.17884 1.288489 0.074292 1.559211 -1.063188 0.423658 0.114834 -0.388078 0.569967 0.411652 0.17925 0.859868 0.713152 -0.114739 0.719408 2.889103 -0.687817 -0.589394 2.368165 0.808753 0.596511 -0.691224 0.650446
"gene17" 0.185003 0.485706 -0.463547 -0.589489 0.838804 1.763051 -0.05424 0.246517 1.845791 1.691263 -0.399859 -1.185008 0.627647 2.041918 -0.732578 -1.419867 0.969043 0.533655 0.518533 -1.162066 1.357542 0.452154 0.635024 -1.379202 0.88577 0.361987 1.00024 0.385822 1.209513 1.393533 0.09237 1.157146 0.442135 -1.072242 0.699994 0.394388 0.604649 0.795289 0.590364 0.897553 0.520019 1.132831 -1.024407 -1.378552 -0.98486 0.319629 -1.331668 -1.177948 0.657194 -1.35522 0.3981 -0.681214 -1.091761 0.298834 1.814165 0.32537 -1.134475 0.013172 1.870921 1.099966 -0.169581 -1.128929 -0.629615 -1.648631 -1.660414 -0.866922 -1.162007 -1.316856 -0.59688 -0.113614 -0.898438 0.184402 -0.741078 -0.95781 -0.934483 -0.149976 -1.026827 -1.116741
"gene18" 0.091539 1.315056 0.061935 0.054137 -1.547701 -0.446608 -1.131856 0.902747 0.956023 -1.332993 -1.423004 0.306272 0.463691 -0.301714 0.682959 -0.550419 -1.29536 -0.789277 -0.789085 0.577756 -0.365651 -1.528567 -0.675176 -0.871484 -0.791413 -0.192392 -0.595183 -0.990719 0.299301 -0.695068 -0.675115 -0.386583 -0.502751 -0.963669 -0.870523 -1.39775 0.567364 0.148869 0.366599 -0.16728 -0.010781 -0.778813 -0.943885 0.346753 -1.008606 0.159438 0.284095 1.169229 -0.76188 0.799613 0.583303 2.139695 1.234824 -2.499741 0.411903 -0.259353 0.05272 -0.061517 2.888144 1.767505 1.894542 -0.462721 -1.033833 0.132566 0.508936 1.987813 0.381053 0.459045 2.217258 -0.344834 0.628612 -0.244606 1.287335 0.254434 1.443656 -0.130145 -0.915848 0.907186
"gene19" -1.289466 0.527781 -0.960332 -0.043406 0.430701 -0.930121 -0.454381 0.364383 -0.917835 -1.191182 0.568133 -1.158234 -0.150719 -1.68621 2.120943 0.181572 -2.022957 -1.462002 -1.587538 0.838097 -1.624965 0.06176 -1.400323 1.125553 -0.840412 -0.331092 -1.101781 -1.798774 -1.042177 -0.811534 -0.820926 1.035154 0.201717 0.718387 0.108716 -0.21588 -0.345839 0.632157 -0.540536 0.66012 0.456778 -1.771123 0.141261 0.47584 0.584109 1.153895 -0.398539 2.677921 1.490118 1.010402 -0.249457 1.117662 1.243101 -0.362403 -0.095299 -0.21565 2.323972 0.261462 -0.824593 -0.322019 0.283611 -0.345773 -0.375454 1.000829 0.819605 1.201787 1.213396 -0.369113 0.771893 0.485568 1.36844 0.220464 -1.092878 0.139424 -0.275871 0.585511 -0.113986 0.938557
"gene20" 0.699708 1.723908 -0.155249 -1.111795 -0.808235 1.171825 1.363751 -0.880655 1.492933 0.38289 -0.862316 -0.781713 2.068086 1.766329 -0.928736 -0.165787 0.883631 0.278604 1.593009 -0.780125 1.745815 -0.63214 2.870785 -0.377994 -0.439514 2.155191 -0.026909 0.229626 0.741721 0.450307 0.086328 0.640336 1.480634 -0.422078 1.599909 -0.185283 0.028826 -1.289626 1.101582 -0.984987 0.619385 1.143107 -0.685111 -0.961417 0.456798 0.001279 -0.437711 -0.109972 -0.509986 -1.010977 -1.054989 -0.053344 -0.155893 -0.307424 -0.267013 -1.188281 -0.904731 1.884043 -0.227482 -0.285522 -1.223751 -0.518722 -0.537176 -0.883365 -0.114668 -0.740509 -1.42483 -0.993514 0.444783 -1.002245 -0.732331 -1.190256 -0.145522 -1.135675 -0.878485 0.6664 -0.674305 -0.583179
"gene21" -0.957965 -0.245332 -0.92352 0.211032 -0.933603 -1.161188 -1.067873 0.691581 0.159204 0.003633 0.03678 1.075848 1.265876 -1.795704 0.389483 0.361244 -1.443313 -1.784357 -1.427276 0.550965 -1.368569 -0.895146 -1.73318 1.019201 -0.827089 -0.590847 -1.037642 -1.061902 -0.098042 -0.965419 -1.261472 0.258472 -0.01021 0.622492 -0.722236 -0.73953 1.089778 0.710589 -0.310568 0.557108 -0.526046 -1.957631 0.440551 0.690664 -0.264253 -0.166687 0.359591 2.736561 0.593192 1.322994 0.096396 -0.102207 1.35139 0.06887 0.672964 -0.456271 1.73499 1.051828 -1.969831 -0.440669 -0.51648 0.135528 -0.061581 0.888236 1.228511 0.589145 2.005403 0.25375 0.450071 -0.344702 2.375159 0.822326 -0.506017 1.195073 -0.123421 0.327993 -0.260323 0.663633
"gene22" -0.831394 -0.596129 -0.342376 0.548549 -0.880334 -1.122203 -0.571451 1.053629 -1.062374 -1.2358 -0.338953 1.238128 0.894522 -1.223154 0.650466 0.892493 -0.847297 -1.072092 -0.976073 0.81779 -1.164924 0.318807 -0.937309 1.241852 -1.22586 -1.435117 -0.773411 -0.310203 -1.0918 -1.149789 -0.926415 -0.626697 -1.214127 -0.56536 0.420151 -0.300046 -0.282808 -0.854339 0.834082 0.501436 -1.424796 -1.420285 0.251078 1.450372 -0.562445 -1.418861 -1.299943 1.738647 0.899359 1.937229 -0.818445 0.769974 0.95138 0.040681 -0.621983 1.22518 1.53499 0.993281 -0.712078 0.56946 0.346596 0.349512 0.430241 1.283447 1.679242 -0.162538 1.569041 1.030384 -0.011019 1.723664 2.10897 0.007916 0.461563 0.983132 -0.751674 0.387335 -1.101522 0.128846
"gene23" -0.979262 -0.874652 -1.66423 0.546383 -0.766258 -0.72039 0.5205 0.595992 0.282845 -0.875145 1.963498 -0.706555 0.479176 -0.581145 0.390833 0.969143 -1.224971 -1.570166 -0.958397 0.742804 -1.202473 -0.817664 -0.853946 -0.846969 -0.555675 -1.793143 -0.994061 -0.437622 0.24691 -1.526744 -2.285658 -1.260547 -0.831028 1.73744 0.648252 -0.918514 0.21426 0.750648 -0.412667 0.967855 -0.460051 -1.330608 0.112825 0.594674 0.594127 -1.055026 -0.303827 1.794433 0.688658 1.666892 -1.470448 0.402789 0.15926 -1.194919 -0.404939 0.506496 0.723448 -0.085519 1.263153 0.162613 0.950977 2.856101 -0.011453 0.516806 0.89996 0.644504 0.540713 1.128603 0.573547 0.566493 0.728334 0.419244 -0.49541 0.510231 -0.486509 0.715602 0.787146 1.392422
"gene24" -1.15996 -1.409233 1.719808 0.36449 -1.153044 -0.301226 -0.558042 0.754412 -0.692901 -0.991965 -0.418046 1.703972 0.658662 -1.353957 -0.937896 0.123221 -1.374502 -1.038397 -0.793759 1.628347 -1.131513 -1.042323 -0.422046 0.564573 -0.983916 -1.068718 -0.923841 -0.222942 -1.053939 -0.455509 -0.496474 -1.156946 -1.641564 -1.063045 0.096464 -1.092627 -0.152326 1.278231 0.027929 0.309089 -0.776674 -0.860515 0.836777 1.031146 -0.59369 -0.574252 1.240967 0.711244 -0.524922 0.736008 -0.810449 -0.200809 0.453692 1.183113 -0.756438 0.116242 0.422837 0.576927 0.876763 0.227115 -1.180814 2.47479 -1.017226 2.001624 1.291902 -0.245536 1.277467 -0.527927 0.510241 0.178901 0.67165 1.422168 1.091755 0.807591 1.72007 1.218512 -0.640534 1.491745
"gene25" -0.558211 -0.161484 -0.483381 -0.063192 -0.415258 -0.282313 -0.165516 0.836416 -1.041156 0.815586 -0.610931 0.222105 -1.212467 -0.156983 -0.679748 1.556233 -1.146887 -0.701408 -0.42161 1.754845 -0.766853 -0.319252 -1.124724 0.129171 -0.665255 -0.101452 -0.683029 0.07804 -0.200705 -0.580888 -0.842955 -0.733648 -4.850202 -0.087135 -0.398781 -0.904359 -0.218942 -0.709429 -0.287695 0.793019 0.282187 -0.658596 0.342691 -0.1801 0.52928 -0.21426 1.015861 1.400872 -0.443015 2.074829 -0.741691 -0.004259 1.06185 -0.954734 -0.23358 -1.423254 2.193755 0.024041 0.044379 0.015232 -0.352911 0.718774 0.343471 0.993448 0.569464 0.60146 0.400796 1.339937 0.110281 0.121749 1.379774 0.110235 2.016243 1.741065 0.878373 0.984557 -0.625919 -0.071851
"gene26" -0.738905 0.342948 -0.118848 0.10504 -1.013995 -0.751404 -1.181399 1.043738 0.25546 -0.046865 0.614749 0.919725 1.192358 -1.628654 1.263464 0.051751 -1.824516 -1.867667 -1.537226 0.820716 -1.776951 -0.925195 -1.810487 0.943453 -0.614695 -0.58714 -1.144498 -1.391939 -0.505516 -1.434239 -0.948949 0.114437 -0.250141 0.826409 0.551182 -0.392172 1.134367 -0.21424 -1.044475 0.538699 -0.638967 -2.502258 0.082828 0.563469 -0.102145 -0.74947 -0.004459 1.904918 0.876571 1.49299 -0.289156 -0.270334 0.444243 0.125127 0.16821 0.242689 1.471549 0.959195 -0.17493 -0.608847 -0.635363 0.360182 1.515042 1.17669 1.521956 0.807795 1.546361 0.891072 0.191596 -0.228565 2.008174 0.604453 -1.127558 1.100954 -0.441644 0.417873 0.498896 -0.167515
"gene27" 0.92027 0.894514 1.339514 -0.361048 -0.372294 1.658252 1.150796 -0.85351 1.857451 0.96157 0.760132 -1.210466 1.002185 0.042088 -0.062433 0.50737 0.276411 0.661369 1.352641 -0.999195 1.163138 0.448914 0.854769 -1.726339 1.196976 0.009918 2.465066 0.320485 -0.217929 1.398012 -0.748886 -0.937367 2.231962 0.281647 0.628283 0.294835 -0.204337 -0.524328 1.63228 0.098269 0.041394 0.004879 -1.528686 -1.200846 -0.757505 0.31775 -1.31042 -1.492548 -1.355744 -0.838681 -1.655411 0.220641 -0.318656 0.617737 1.554244 0.818312 -0.893257 0.278579 -0.686776 0.539506 -1.234364 -0.442509 0.531815 -0.691614 -0.629772 -0.983807 -1.237672 -1.003439 0.359172 -1.039994 -0.853073 0.638133 0.099722 -0.923235 -1.4225 -0.426044 0.080149 -1.366466
"gene28" -1.135994 -0.208728 -0.717851 0.123685 -0.82424 -0.772894 -0.527936 0.253899 0.33536 -0.018662 0.100808 0.997023 1.118265 -1.389149 0.406207 0.385775 -1.62419 -1.379254 -1.193864 0.618789 -1.023514 -1.145189 -1.7937 1.282744 -0.500337 -1.058285 -0.924633 -0.972533 -1.723529 -0.627957 -1.205663 0.171036 -0.297632 0.653858 -0.483664 -1.409429 0.526101 0.742029 -0.377686 0.461151 -0.510972 -1.159159 0.539016 0.825626 -0.108436 -0.381852 -0.002903 3.180791 0.535621 1.429315 0.080326 -0.204189 1.431115 -1.534115 0.695794 -0.487917 1.873744 0.919963 -0.903331 -0.577972 -0.20136 0.196193 -0.26589 1.025451 1.511407 0.714955 2.370631 0.118665 0.60923 -0.595072 1.937593 0.928041 -0.678788 1.225563 -0.087202 0.209769 -0.210295 0.710424
"gene29" 0.354753 0.428179 1.093471 -1.197686 1.11022 0.683175 2.130634 -0.787329 1.147832 1.298133 0.185658 -0.448191 0.097422 1.027785 -0.477454 -0.986178 1.771923 -0.056872 2.824392 1.735935 2.033512 1.497383 -0.872536 0.871214 -1.317867 0.820285 0.484656 -1.028411 0.586557 -0.772607 0.391115 -0.379355 -0.265249 -1.666762 0.37922 1.36344 0.792509 -0.403693 0.620895 -0.45458 0.125276 1.057644 -0.205766 -0.271578 -0.795376 0.691646 0.212274 -0.686967 -1.200518 -0.816349 0.190578 -1.086921 1.031217 -3.155091 -0.023801 -0.813061 -0.864779 -0.033851 -0.486403 -0.624728 0.141294 -1.042223 -0.394969 -0.434695 -0.248648 -1.211771 -0.12726 -0.60196 0.065252 -0.6515 0.082296 -0.627961 -1.49928 -0.377788 0.063853 1.153583 0.000596 -1.147791
"gene30" -1.534571 0.006539 -0.744046 0.154739 -1.366305 -1.976486 -1.3986 0.200586 0.492521 -0.18232 -0.637568 1.533382 -0.692809 -1.310936 -0.747221 -0.126686 -1.523992 -0.169663 -1.068624 0.945714 -0.049095 -1.658256 -1.175926 1.374705 1.660876 2.069631 -1.303914 -0.525895 0.180431 -1.865225 -0.260951 -0.004457 -0.213863 -0.270612 0.097338 1.419698 0.148659 -0.576014 -1.140496 -1.068143 -0.855223 -0.673447 -1.17749 0.739579 1.091905 0.833455 1.162654 0.557644 -0.9433 -0.083542 1.20157 0.401902 0.855826 1.905696 0.274568 1.107243 1.043015 -1.451934 1.351946 0.428444 -0.476261 0.940894 0.589528 0.616687 -0.078918 0.3822 0.941942 0.325269 1.334435 -1.4159 0.219618 0.3701 -0.458473 1.736841 0.09832 -0.913858 0.118067 1.206854
